Entity,Code,Year,Oil,Gas,Coal
Africa,,1965,341.07257,9.57193,323.49615
Africa,,1966,369.46457,10.6980915,323.12222
Africa,,1967,368.28156,10.573844,330.2916
Africa,,1968,389.57162,10.717145,343.51288
Africa,,1969,397.3726,12.520175,346.64288
Africa,,1970,434.28757,15.5485,360.75693
Africa,,1971,472.22516,18.405264,383.0123
Africa,,1972,509.09583,24.670658,384.21082
Africa,,1973,549.6427,39.551792,408.91034
Africa,,1974,570.538,44.518486,425.6462
Africa,,1975,598.6075,53.63838,451.0805
Africa,,1976,651.3652,60.98139,481.07416
Africa,,1977,692.9117,68.23419,491.69846
Africa,,1978,730.7279,97.369896,477.8156
Africa,,1979,770.22455,148.84282,507.24698
Africa,,1980,818.9584,186.91397,543.55707
Africa,,1981,887.7277,228.49115,635.79877
Africa,,1982,930.6774,246.73354,701.17584
Africa,,1983,964.2179,271.27536,713.2461
Africa,,1984,978.6124,259.9028,762.8979
Africa,,1985,1003.6883,278.84274,787.1659
Africa,,1986,979.9832,313.27118,805.356
Africa,,1987,1037.7959,323.38437,828.3197
Africa,,1988,1081.3895,358.44455,890.1608
Africa,,1989,1117.3824,371.47104,835.6209
Africa,,1990,1138.2854,398.6454,877.6783
Africa,,1991,1142.5394,401.6356,853.76215
Africa,,1992,1162.5455,421.27026,858.8311
Africa,,1993,1175.4089,412.64398,871.7139
Africa,,1994,1213.8041,431.82797,894.4478
Africa,,1995,1253.9824,461.2435,922.4713
Africa,,1996,1282.5608,484.19174,935.2283
Africa,,1997,1322.649,474.47556,959.0191
Africa,,1998,1351.2659,499.337,937.039
Africa,,1999,1400.9159,504.01962,966.0107
Africa,,2000,1408.781,556.8223,963.7305
Africa,,2001,1431.3003,634.63617,975.9263
Africa,,2002,1465.1776,670.63605,934.42163
Africa,,2003,1499.0969,711.5361,1017.0484
Africa,,2004,1569.3588,830.44904,1119.162
Africa,,2005,1643.527,808.0279,1039.073
Africa,,2006,1669.9397,843.7478,1054.0972
Africa,,2007,1727.311,900.4146,1071.6333
Africa,,2008,1799.118,956.9722,1180.7251
Africa,,2009,1870.0795,941.2384,1176.0021
Africa,,2010,1958.0597,981.41986,1167.1664
Africa,,2011,1958.3862,1061.5934,1149.0251
Africa,,2012,2105.0354,1147.4296,1120.1858
Africa,,2013,2203.0942,1170.0558,1132.1521
Africa,,2014,2253.4895,1202.3505,1185.7092
Africa,,2015,2320.0535,1307.7611,1123.2714
Africa,,2016,2315.4639,1350.4667,1191.6321
Africa,,2017,2349.5767,1455.7446,1192.7725
Africa,,2018,2337.529,1553.0098,1170.1365
Africa,,2019,2364.799,1576.5094,1239.35
Africa,,2020,2145.362,1541.8435,1199.677
Africa,,2021,2333.0635,1765.4915,1204.3943
Africa,,2022,2468.4685,1753.9181,1150.9288
Africa,,2023,2474.7007,1790.8177,1179.417
Africa,,2024,2543.7734,1780.349,1194.9971
Africa (EI),,1965,341.07257,9.57193,323.49615
Africa (EI),,1966,369.46457,10.6980915,323.12222
Africa (EI),,1967,368.28156,10.573844,330.2916
Africa (EI),,1968,389.57162,10.717145,343.51288
Africa (EI),,1969,397.3726,12.520175,346.64288
Africa (EI),,1970,434.28757,15.5485,360.75693
Africa (EI),,1971,472.22516,18.405264,383.0123
Africa (EI),,1972,509.09583,24.670658,384.21082
Africa (EI),,1973,549.6427,39.551792,408.91034
Africa (EI),,1974,570.538,44.518486,425.6462
Africa (EI),,1975,598.6075,53.63838,451.0805
Africa (EI),,1976,651.3652,60.98139,481.07416
Africa (EI),,1977,692.9117,68.23419,491.69846
Africa (EI),,1978,730.7279,97.369896,477.8156
Africa (EI),,1979,770.22455,148.84282,507.24698
Africa (EI),,1980,818.9584,186.91397,543.55707
Africa (EI),,1981,887.7277,228.49115,635.79877
Africa (EI),,1982,930.6774,246.73354,701.17584
Africa (EI),,1983,964.2179,271.27536,713.2461
Africa (EI),,1984,978.6124,259.9028,762.8979
Africa (EI),,1985,1003.6883,278.84274,787.1659
Africa (EI),,1986,979.9832,313.27118,805.356
Africa (EI),,1987,1037.7959,323.38437,828.3197
Africa (EI),,1988,1081.3895,358.44455,890.1608
Africa (EI),,1989,1117.3824,371.47104,835.6209
Africa (EI),,1990,1138.2854,398.6454,877.6783
Africa (EI),,1991,1142.5394,401.6356,853.76215
Africa (EI),,1992,1162.5455,421.27026,858.8311
Africa (EI),,1993,1175.4089,412.64398,871.7139
Africa (EI),,1994,1213.8041,431.82797,894.4478
Africa (EI),,1995,1253.9824,461.2435,922.4713
Africa (EI),,1996,1282.5608,484.19174,935.2283
Africa (EI),,1997,1322.649,474.47556,959.0191
Africa (EI),,1998,1351.2659,499.337,937.039
Africa (EI),,1999,1400.9159,504.01962,966.0107
Africa (EI),,2000,1408.781,556.8223,963.7305
Africa (EI),,2001,1431.3003,634.63617,975.9263
Africa (EI),,2002,1465.1776,670.63605,934.42163
Africa (EI),,2003,1499.0969,711.5361,1017.0484
Africa (EI),,2004,1569.3588,830.44904,1119.162
Africa (EI),,2005,1643.527,808.0279,1039.073
Africa (EI),,2006,1669.9397,843.7478,1054.0972
Africa (EI),,2007,1727.311,900.4146,1071.6333
Africa (EI),,2008,1799.118,956.9722,1180.7251
Africa (EI),,2009,1870.0795,941.2384,1176.0021
Africa (EI),,2010,1958.0597,981.41986,1167.1664
Africa (EI),,2011,1958.3862,1061.5934,1149.0251
Africa (EI),,2012,2105.0354,1147.4296,1120.1858
Africa (EI),,2013,2203.0942,1170.0558,1132.1521
Africa (EI),,2014,2253.4895,1202.3505,1185.7092
Africa (EI),,2015,2320.0535,1307.7611,1123.2714
Africa (EI),,2016,2315.4639,1350.4667,1191.6321
Africa (EI),,2017,2349.5767,1455.7446,1192.7725
Africa (EI),,2018,2337.529,1553.0098,1170.1365
Africa (EI),,2019,2364.799,1576.5094,1239.35
Africa (EI),,2020,2145.362,1541.8435,1199.677
Africa (EI),,2021,2333.0635,1765.4915,1204.3943
Africa (EI),,2022,2468.4685,1753.9181,1150.9288
Africa (EI),,2023,2474.7007,1790.8177,1179.417
Africa (EI),,2024,2543.7734,1780.349,1194.9971
Algeria,DZA,1965,15.4052515,7.4305,0.81409997
Algeria,DZA,1966,20.272705,7.71925,0.79084
Algeria,DZA,1967,18.942032,7.48825,0.60476
Algeria,DZA,1968,20.167301,7.87325,0.63965
Algeria,DZA,1969,21.305931,10.351687,0.81409997
Algeria,DZA,1970,24.34768,9.730875,0.96528995
Algeria,DZA,1971,27.44005,11.0494995,0.26749
Algeria,DZA,1972,30.121414,12.830126,0.23259999
Algeria,DZA,1973,32.900345,17.859186,0.26749
Algeria,DZA,1974,36.54384,20.6745,0.22096999
Algeria,DZA,1975,40.63067,28.49,0.27912
Algeria,DZA,1976,46.71773,33.6875,0.54661
Algeria,DZA,1977,52.806496,35.901253,0.70943
Algeria,DZA,1978,54.607944,57.65375,0.36053002
Algeria,DZA,1979,65.31862,81.52375,0.83736
Algeria,DZA,1980,66.20243,109.43625,0.74432
Algeria,DZA,1981,71.323074,142.25749,0.52335
