country,iso3,year,co2_per_capita,life_expectancy,energy_per_person,oil_consumption,gas_consumption,coal_consumption
Afghanistan,AFG,2023,0.254,66.03,990.47,,,
Albania,ALB,2023,1.571,79.6,8032.07,,,
Algeria,DZA,2023,4.394,76.26,16994.38,238.203,542.33,2.105
Andorra,AND,2023,5.17,84.04,,,,
Angola,AGO,2023,0.59,64.62,2680.34,,,
Anguilla,AIA,2023,9.879,79.31,,,,
Antigua and Barbuda,ATG,2023,6.863,77.6,32266.11,,,
Argentina,ARG,2023,3.918,77.39,22053.05,370.755,449.475,13.304
Armenia,ARM,2023,2.524,75.68,16027.84,,,
Aruba,ABW,2023,8.213,76.35,45116.08,,,
Australia,AUS,2023,14.529,83.92,62658.08,602.696,386.27,418.341
Austria,AUT,2023,6.233,81.96,43148.04,134.105,68.813,27.945
Azerbaijan,AZE,2023,4.143,74.43,21072.76,72.102,140.04,0.001
Bahamas,BHS,2023,7.4,74.55,30598.4,,,
Bahrain,BHR,2023,24.71,81.28,164932.52,,,
Bangladesh,BGD,2023,0.61,74.67,2954.85,139.369,281.259,81.772
Barbados,BRB,2023,4.664,76.18,20013.9,,,
Belarus,BLR,2023,6.114,74.43,33297.79,91.938,167.84,11.258
Belgium,BEL,2023,7.232,82.12,55542.02,320.74,137.61,27.78
Belize,BLZ,2023,1.864,73.57,9012.32,,,
Benin,BEN,2023,0.42,60.77,1896.63,,,
Bermuda,BMU,2023,8.184,82.31,35958.02,,,
Bhutan,BTN,2023,2.072,72.98,18780.54,,,
Bolivia,BOL,2023,2.011,68.58,8598.65,,,
Bonaire Sint Eustatius and Saba,BES,2023,4.889,77.44,,,,
Bosnia and Herzegovina,BIH,2023,6.242,77.85,26735.99,,,
Botswana,BWA,2023,2.923,69.16,9508.22,,,
Brazil,BRA,2023,2.292,75.85,18252.03,1425.2,298.761,159.269
British Virgin Islands,VGB,2023,4.752,77.28,19622.96,,,
Brunei,BRN,2023,27.241,75.33,118211.91,,,
Bulgaria,BGR,2023,5.077,75.64,29007.34,59.371,25.26,42.945
Burkina Faso,BFA,2023,0.274,61.09,1020.26,,,
Burundi,BDI,2023,0.066,63.65,277.14,,,
Cambodia,KHM,2023,1.229,70.67,4590.69,,,
Cameroon,CMR,2023,0.342,63.7,1251.84,,,
Canada,CAN,2023,13.88,82.63,98930.02,1194.142,1241.22,102.967
Cape Verde,CPV,2023,1.094,76.06,5861.13,,,
Central African Republic,CAF,2023,0.076,57.41,279.59,,,
Chad,TCD,2023,0.147,55.07,440.09,,,
Chile,CHL,2023,3.948,81.17,25306.36,225.663,75.927,39.132
China,CHN,2023,8.556,77.95,33089.07,9091.228,4048.381,25181.209
Colombia,COL,2023,1.72,77.72,11760.21,254.752,130.544,54.29
Comoros,COM,2023,0.638,66.78,2092.15,,,
Congo,COG,2023,1.338,65.77,2154.29,,,
Cook Islands,COK,2023,5.376,75.28,30723.82,,,
Costa Rica,CRI,2023,1.659,80.8,9004.63,,,
Cote d'Ivoire,CIV,2023,0.451,61.94,2488.01,,,
Croatia,HRV,2023,4.74,78.58,26982.51,43.714,25.001,4.02
Cuba,CUB,2023,2.13,78.09,7640.3,,,
Curacao,CUW,2023,11.89,76.8,,,,
Cyprus,CYP,2023,5.344,81.65,23877.7,28.668,0.0,0.319
Czechia,CZE,2023,7.7,79.83,38043.73,107.824,66.975,125.104
Democratic Republic of Congo,COD,2023,0.056,61.9,382.48,,,
Denmark,DNK,2023,4.847,81.93,32816.66,88.93,16.21,7.758
Djibouti,DJI,2023,0.484,65.99,3056.17,,,
Dominica,DMA,2023,2.473,71.13,10662.96,,,
Dominican Republic,DOM,2023,2.809,73.72,11526.29,,,
East Timor,TLS,2023,0.46,67.69,2000.24,,,
Ecuador,ECU,2023,2.481,77.39,12916.21,159.136,4.887,0.304
Egypt,EGY,2023,2.185,71.63,9566.15,414.18,600.39,13.627
El Salvador,SLV,2023,1.374,72.1,7157.06,,,
Equatorial Guinea,GNQ,2023,3.742,63.71,15974.84,,,
Eritrea,ERI,2023,0.211,68.62,872.54,,,
Estonia,EST,2023,6.396,79.15,41162.7,15.561,3.13,29.263
Eswatini,SWZ,2023,0.837,64.12,5516.52,,,
Ethiopia,ETH,2023,0.137,67.32,693.36,,,
Faroe Islands,FRO,2023,13.038,80.18,58450.11,,,
Fiji,FJI,2023,1.496,67.32,7436.56,,,
Finland,FIN,2023,5.677,81.91,59655.68,89.035,11.632,25.062
France,FRA,2023,4.068,83.33,36221.5,777.077,340.557,49.213
French Polynesia,PYF,2023,3.139,84.07,15488.1,,,
Gabon,GAB,2023,2.141,68.34,6477.26,,,
Gambia,GMB,2023,0.286,65.86,800.29,,,
Georgia,GEO,2023,3.131,74.5,16434.39,,,
Germany,DEU,2023,7.023,81.38,37598.49,1165.512,727.971,487.423
Ghana,GHA,2023,0.596,65.5,3075.17,,,
Greece,GRC,2023,5.076,81.86,29864.28,171.296,53.822,14.274
Greenland,GRL,2023,10.884,70.06,46980.75,,,
Grenada,GRD,2023,3.1,75.21,12220.67,,,
Guatemala,GTM,2023,1.089,72.6,5010.24,,,
Guinea,GIN,2023,0.269,60.74,1534.37,,,
Guinea-Bissau,GNB,2023,0.153,64.08,689.11,,,
Guyana,GUY,2023,5.299,70.18,13494.39,,,
Haiti,HTI,2023,0.246,64.94,1021.73,,,
Honduras,HND,2023,1.165,72.88,4877.14,,,
Hong Kong,HKG,2023,4.428,85.51,33757.82,159.284,48.468,40.805
Hungary,HUN,2023,4.165,77.02,26357.77,94.094,82.148,10.506
Iceland,ISL,2023,9.052,82.69,165312.66,10.944,0.0,0.968
India,IND,2023,2.13,72.0,7529.44,2939.235,620.344,6137.224
Indonesia,IDN,2023,2.711,71.15,9904.81,857.437,434.479,1199.906
Iran,IRN,2023,8.715,77.65,39688.28,1031.421,2465.833,18.063
Iraq,IRQ,2023,5.056,72.32,15925.55,520.974,192.285,0.0
Ireland,IRL,2023,6.46,82.41,34725.47,84.527,48.263,6.579
Israel,ISR,2023,5.983,82.41,30723.86,120.645,105.032,35.176
Italy,ITA,2023,5.249,83.72,28246.55,714.08,585.939,53.603
Jamaica,JAM,2023,2.841,71.48,12336.74,,,
Japan,JPN,2023,7.935,84.71,39064.83,1882.66,916.112,1260.111
Jordan,JOR,2023,2.021,77.81,9644.63,,,
Kazakhstan,KAZ,2023,14.076,74.4,41624.88,185.642,199.52,423.518
Kenya,KEN,2023,0.383,63.65,1607.91,,,
Kiribati,KIR,2023,0.523,66.47,2513.84,,,
Kuwait,KWT,2023,25.454,80.4,103089.84,260.345,236.954,1.084
Kyrgyzstan,KGZ,2023,1.576,71.68,8082.86,,,
Laos,LAO,2023,3.152,68.96,10100.14,,,
Latvia,LVA,2023,3.501,76.19,21654.95,19.469,7.671,0.174
Lebanon,LBN,2023,2.695,77.82,12632.7,,,
Lesotho,LSO,2023,1.079,57.37,2378.81,,,
Liberia,LBR,2023,0.152,62.16,533.96,,,
Libya,LBY,2023,8.79,69.34,29554.36,,,
Liechtenstein,LIE,2023,3.312,83.63,,,,
Lithuania,LTU,2023,4.382,76.03,24025.42,38.186,15.655,1.378
Luxembourg,LUX,2023,10.285,82.23,56679.46,26.817,5.733,0.265
Macao,MAC,2023,1.461,83.07,18944.18,,,
Madagascar,MDG,2023,0.143,63.63,532.2,,,
Malawi,MWI,2023,0.088,67.35,525.15,,,
Malaysia,MYS,2023,7.866,76.66,37724.61,488.648,438.358,285.266
Maldives,MDV,2023,4.193,81.04,14912.83,,,
Mali,MLI,2023,0.284,60.44,1262.2,,,
Malta,MLT,2023,3.317,83.3,71107.69,,,
Marshall Islands,MHL,2023,3.802,66.95,,,,
Mauritania,MRT,2023,1.003,68.48,4142.48,,,
Mauritius,MUS,2023,3.602,74.93,17639.25,,,
Mexico,MEX,2023,3.532,75.07,17682.66,991.904,1005.17,77.305
Micronesia (country),FSM,2023,1.279,67.2,4428.09,,,
Moldova,MDA,2023,1.738,71.2,11903.73,,,
Mongolia,MNG,2023,12.874,71.73,19674.55,,,
Montenegro,MNE,2023,3.799,77.09,18582.63,,,
Montserrat,MSR,2023,5.765,76.19,24283.6,,,
Morocco,MAR,2023,1.829,75.31,7189.81,158.349,8.88,81.007
Mozambique,MOZ,2023,0.27,63.61,1696.66,,,
Myanmar,MMR,2023,0.587,66.89,2457.11,,,
Namibia,NAM,2023,1.162,67.38,6369.58,,,
Nauru,NRU,2023,4.933,62.11,29242.1,,,
Nepal,NPL,2023,0.618,70.35,1935.31,,,
Netherlands,NLD,2023,6.468,82.16,51949.64,463.736,259.083,43.944
New Caledonia,NCL,2023,17.483,78.77,63832.76,,,
New Zealand,NZL,2023,6.101,82.09,46344.71,88.69,38.52,11.39
Nicaragua,NIC,2023,0.796,74.95,3124.25,,,
Niger,NER,2023,0.12,61.18,519.36,,,
Nigeria,NGA,2023,0.568,54.46,2342.64,,,
Niue,NIU,2023,3.961,69.98,19803.48,,,
North Korea,PRK,2023,2.348,73.64,6983.98,,,
